"UniProtID" "dTransCalcR1" "dTransHydro" "dRotCalcR1" "dRotHydro" "dTransCalcR2" "dRotCalcR2" "nAA"
"79" "P00079" 0.00918023 0.01003 1.15804131207178e-05 1.277e-05 0.01023978 1.31413667165916e-05 NA
"11" "P00011" 0.00228995 0.005949 1.15894232999634e-05 2.361e-06 0.00587121 2.8994064702628e-05 NA
"101" "P00101" 0.0147029 0.01202 2.36747335088481e-05 1.769e-05 0.01185142 1.97056820496832e-05 NA
"99" "P00099" 0.01418248 0.01104 2.46300465238361e-05 1.888e-05 0.01065475 1.83804976221687e-05 NA
"7" "P00007" 0.00259499 0.006742 1.40288321268735e-06 3.464e-06 0.00634247 3.59790186381151e-06 NA
"2" "P00002" 0.00046296 0.003321537 9.36101956103452e-08 5.05885e-07 0.00346979 6.19822240784333e-07 NA
"26" "P00026" 0.00432519 0.006651 3.06395650115344e-06 3.931e-06 0.00655037 4.91480095743989e-06 NA
"77" "P00077" 0.0094886 0.008456 1.11626943221448e-05 9.662e-06 0.00797899 1.03909702728551e-05 NA
"20" "P00020" 0.0033748 0.006463 1.2449583572516e-05 3.767e-06 0.00631618 2.12350404947198e-05 NA
"81" "P00081" 0.00968072 0.009234 1.580476205076e-05 1.255e-05 0.00937698 1.47134894373947e-05 NA
"91" "P00091" 0.01148889 0.0111 1.39449627268049e-05 1.434e-05 0.01106936 1.24293978464293e-05 NA
"42" "P00042" 0.00532377 0.008091 4.80309356427215e-06 6.928e-06 0.00787027 7.2271726294508e-06 NA
"116" "P00116" 0.03167894 0.01172 2.48137175587061e-05 2.011e-05 0.01119722 9.54742890484652e-06 NA
"92" "P00092" 0.01220047 0.01019 2.1858692294089e-05 1.517e-05 0.00983595 1.65002019856145e-05 NA
"106" "P00106" 0.02002428 0.0114 4.62248320946877e-05 2.376e-05 0.01136417 2.52946474178002e-05 NA
"72" "P00072" 0.00821821 0.009486 1.12932162253087e-05 1.056e-05 0.00937169 1.31552314703474e-05 NA
"100" "P00100" 0.01635425 0.01231 3.75871251782438e-05 2.066e-05 0.01193355 2.70517221707458e-05 NA
"32" "P00032" 0.00448963 0.007485 7.63807002836267e-06 5.409e-06 0.00725632 1.22069140752783e-05 NA
"94" "P00094" 0.01350193 0.01102 3.79218820881864e-05 1.544e-05 0.01086697 3.13456371721849e-05 NA
"36" "P00036" 0.00481574 0.007069 3.81136181961979e-06 3.899e-06 0.00693451 5.98455786267411e-06 NA
"74" "P00074" 0.00817366 0.007148 6.48274719408267e-06 4.347e-06 0.00714958 5.63085696580169e-06 NA
"87" "P00087" 0.01095509 0.008458 2.71963273105006e-05 6.621e-06 0.00826278 2.26611918521797e-05 NA
"9" "P00009" 0.00430587 0.007488 3.2791292834227e-06 5.428e-06 0.0072927 5.92937406211466e-06 NA
"97" "P00097" 0.01395855 0.009126 4.37335081254255e-06 8.559e-06 0.00919915 3.13147247108527e-06 NA
"62" "P00062" 0.00730162 0.009194 8.46210965938497e-06 9.859e-06 0.00892243 1.04382355662524e-05 NA
"89" "P00089" 0.01081531 0.01001 1.3812378936849e-05 1.325e-05 0.01013844 1.28878077336697e-05 NA
"90" "P00090" 0.01147109 0.01063 1.4745865997802e-05 1.381e-05 0.01060899 1.35230946265735e-05 NA
"29" "P00029" 0.00436607 0.007625 3.96721865590483e-06 5.786e-06 0.00780048 6.94837045676867e-06 NA
"31" "P00031" 0.00436147 0.007669 2.94904333385031e-06 5.704e-06 0.00770268 5.23953824252881e-06 NA
"85" "P00085" 0.00979703 0.008407 8.33804978919955e-06 7.05e-06 0.00854567 7.43261318927736e-06 NA
"41" "P00041" 0.00500769 0.007947 4.98117790283002e-06 6.419e-06 0.00810455 7.27093277910927e-06 NA
"60" "P00060" 0.00739823 0.009105 1.29380673885069e-05 9.545e-06 0.00919608 1.5917471050397e-05 NA
"93" "P00093" 0.01244098 0.01095 1.85980452548321e-05 1.606e-05 0.01098532 1.48293599629659e-05 NA
"112" "P00112" 0.02391898 0.01227 5.0091919965424e-05 2.882e-05 0.01244693 2.52839038567276e-05 NA
"86" "P00086" 0.01067246 0.008641 2.63140200162634e-05 8.751e-06 0.00833068 2.466106289832e-05 NA
"82" "P00082" 0.00949546 0.009882 1.40559465364631e-05 1.259e-05 0.0103258 1.55936015907784e-05 NA
"88" "P00088" 0.01035259 0.008327 0.000275659206408707 1.004e-05 0.00854702 0.00022173397641427 NA
"69" "P00069" 0.0080165 0.008824 9.25551814502479e-06 8.431e-06 0.00899214 9.77612389594823e-06 NA
"51" "P00051" 0.00618981 0.008165 6.3467446587404e-06 8.353e-06 0.00792492 8.73178332441745e-06 NA
"30" "P00030" 0.00422104 0.007833 2.98885076337945e-06 5.872e-06 0.00822113 5.48920913772339e-06 NA
